featname;eeg/phy;what;channels;waveband;pearson_r;lr coef;l1 coef;l2 coef;svm coef;rf importances;
DASM P3,P4;eeg;DASM;['P3', 'P4'];beta;0.0386180714966;3.45550744745e-05;0.000780140177847;1.93310044585e-05;0.0295747584407;0.0016184821953;
RASM P3,P4;eeg;RASM;['P3', 'P4'];beta;0.0124978591072;0.000323418185302;0.0;0.000312738775618;0.0203353837338;0.00172026719426;
DASM P3,P4;eeg;DASM;['P3', 'P4'];delta;0.0185637493766;0.000198284709193;0.00051755805366;0.000211178449563;0.0169833346407;0.00175513750037;
RASM P3,P4;eeg;RASM;['P3', 'P4'];delta;0.0320642838658;0.00473764268396;0.00256736319382;0.00473594743589;0.0717166858971;0.00212279573313;
DASM P3,P4;eeg;DASM;['P3', 'P4'];theta;0.0462940127453;0.00553091544291;0.00157630634628;0.00554186024951;0.0683550096322;0.00222452223992;
RASM P3,P4;eeg;RASM;['P3', 'P4'];theta;0.0271874264489;0.00152741396464;0.000688825978106;0.00153356791536;0.0248932636574;0.0017065740898;
DASM P3,P4;eeg;DASM;['P3', 'P4'];gamma;0.0327247382141;0.00178134069635;0.0;0.00178393041877;0.0201075303165;0.00179018032918;
RASM P3,P4;eeg;RASM;['P3', 'P4'];gamma;0.0473660267994;0.00378747372145;0.00202368311718;0.00378314877983;0.0441820469278;0.00190933707665;
DASM P3,P4;eeg;DASM;['P3', 'P4'];alpha;0.0224750864169;0.0027512373761;0.0;0.00274683592674;0.041500510683;0.0020673755251;
RASM P3,P4;eeg;RASM;['P3', 'P4'];alpha;0.0466023638721;0.000245367074862;0.00188151953396;0.000261563873384;0.022348189215;0.00216258307897;
LR P7,P8;eeg;LminR;['P7', 'P8'];alpha;0.0476038957666;0.00165126189098;0.000505574647366;0.0016537980888;0.0158441449939;0.00167817165723;
DASM P7,P8;eeg;DASM;['P7', 'P8'];beta;0.00769872589193;0.000151455157736;0.000754521151457;0.000137918555211;0.00941667814862;0.00115042934646;
