featname;eeg/phy;what;channels;waveband;pearson_r;mi;lr coef;l1 coef;l2 coef;svm coef;rf importances;PCA
DE FC5(beta);eeg;DE;FC5;beta;0.0844189494489;0.0234425435628;0.00259611492792;0.00644296349012;0.00259198157085;0.0315212695103;0.00103529959155;0.0203431365794;
PSD FC5(beta);eeg;PSD;FC5;beta;0.0853393355485;0.0230451090298;0.00344746063004;0.0100568855379;0.00349476635442;0.0143033713859;0.00111168035162;0.0200254243585;
DE FC5(alpha);eeg;DE;FC5;alpha;0.0407787236622;0.015409172069;0.00354745614118;0.0;0.00349756444379;0.0223963004176;0.00136256495143;0.0194174085812;
PSD FC5(alpha);eeg;PSD;FC5;alpha;0.0373223738364;0.0162430207553;0.019229161778;0.0237525424487;0.019233075395;0.042325820487;0.00124929123055;0.0196890428318;
DE FC5(gamma);eeg;DE;FC5;gamma;0.044882007241;0.0191497670497;0.00568876987275;0.0113760179371;0.00570194059406;0.0202850811923;0.000967990116044;0.0266354861498;
PSD FC5(gamma);eeg;PSD;FC5;gamma;0.0319050132521;0.0200086484919;0.00398859508008;0.00453934831069;0.00404116843399;0.0341532441814;0.000954549118154;0.0259727062454;
DE FC5(delta);eeg;DE;FC5;delta;0.0318711309626;0.0156313675777;0.0182210584335;0.00675084787663;0.0182166667074;0.0323991413832;0.00151186168508;0.0107271871741;
PSD FC5(delta);eeg;PSD;FC5;delta;0.0370755976068;0.0213669147927;0.00770562567081;0.00990330149708;0.00767448206374;0.0441598568439;0.00153002790495;0.0100245199558;
A/B FC1;eeg;AB;FC1;alpha & beta;0.0244478960595;0.0225331029592;0.00274780987262;0.00800568345888;0.00275096250602;0.0498546728784;0.00214451248969;0.0160608300008;
DE FC1(theta);eeg;DE;FC1;theta;0.0996249401893;0.0232347006395;0.00936012569224;0.00145669022114;0.00932866504249;0.019136397363;0.00144270696604;0.0307835965422;
PSD FC1(theta);eeg;PSD;FC1;theta;0.106827431778;0.0203085525996;0.0143443024312;0.0312565100861;0.0143644722019;0.0410947051824;0.00155359385615;0.0301794911225;
DE FC1(beta);eeg;DE;FC1;beta;0.0542005972044;0.0181600593468;0.00075744479989;0.00727539173893;0.000774849162424;0.014024163857;0.00107250328089;0.0278805004314;
PSD FC1(beta);eeg;PSD;FC1;beta;0.050305833421;0.0213188731691;0.0211387313541;0.00326648743554;0.0210622557464;0.0530679406595;0.00107121226592;0.0272890058309;
DE FC1(alpha);eeg;DE;FC1;alpha;0.0583597920758;0.0179165429583;0.0104951312163;0.0318645231092;0.0104798820197;0.0325417707126;0.00101024253679;0.0253216918503;
PSD FC1(alpha);eeg;PSD;FC1;alpha;0.0700258727733;0.0193780519035;0.00812493076467;0.012043836172;0.00813176243291;0.0351098659352;0.00115523967223;0.0252911892965;
DE FC1(gamma);eeg;DE;FC1;gamma;0.0704072166086;0.017327606294;0.00193178070644;0.0;0.00194517614588;0.0153827597954;0.00118889662426;0.030778154237;
PSD FC1(gamma);eeg;PSD;FC1;gamma;0.0656425958519;0.0192202962742;0.0029748252207;0.00678796540309;0.00298423108268;0.0267453124534;0.00112283084077;0.0312251947203;
DE FC1(delta);eeg;DE;FC1;delta;0.0626333351574;0.0194337146262;0.0150923540331;0.00392725041958;0.0150019854578;0.0425424314038;0.00195047278844;0.0178783013047;
PSD FC1(delta);eeg;PSD;FC1;delta;0.0721758315221;0.0236575629078;0.00264454450104;0.0135486814593;0.0026759137016;0.038113722356;0.00180337067012;0.0170187571763;
A/B C3;eeg;AB;C3;alpha & beta;0.0546693211072;0.0203191590252;0.00736715089873;0.00805342612244;0.00734008470164;0.0166569230483;0.00220894745982;0.0109212626797;
DE C3(theta);eeg;DE;C3;theta;0.0609596548011;0.0213459992672;0.00126056578707;0.00353339923365;0.00132870589443;0.0156028351334;0.00122389072288;0.0222170827079;
PSD C3(theta);eeg;PSD;C3;theta;0.0707661937863;0.0204743627605;0.00126830032483;0.00158638470605;0.00128565426064;0.0277904692158;0.00112953818341;0.0220838707805;
DE C3(beta);eeg;DE;C3;beta;0.0612366752985;0.0179924067071;0.00449818816577;0.00844219768924;0.00448070448533;0.026647908757;0.00107745948212;0.0203780318874;
PSD C3(beta);eeg;PSD;C3;beta;0.0709324912792;0.016598953527;0.000304151235365;0.00544192272187;0.000247854623565;0.0203932422839;0.00107915349814;0.0209279946381;
DE C3(alpha);eeg;DE;C3;alpha;0.0522096169288;0.0181422987253;0.00987450245681;0.0103102547495;0.00984231137843;0.0527078468918;0.00138221942751;0.0205257524764;
PSD C3(alpha);eeg;PSD;C3;alpha;0.0368323780954;0.020450559574;0.00423995264292;0.00379683466997;0.00427950899549;0.0658667204013;0.00139312520839;0.0214660167371;
DE C3(gamma);eeg;DE;C3;gamma;0.0357256613677;0.0231627829497;0.0072963753641;0.00905684185466;0.00730186999651;0.00816209214556;0.00110121414742;0.0260884948985;
PSD C3(gamma);eeg;PSD;C3;gamma;0.0321544954106;0.0191791018753;0.00494394762312;0.00812501431693;0.00491900430262;0.051636070484;0.00113909919466;0.0263567268596;
DE C3(delta);eeg;DE;C3;delta;0.00892524129819;0.0169955260024;0.00421042255088;0.0081742849941;0.00417023886066;0.0522009749615;0.00169793507618;0.0131465977805;
PSD C3(delta);eeg;PSD;C3;delta;0.018375416536;0.0206126004556;0.0168077100666;0.0277895606969;0.0168685921076;0.0653419509051;0.00168729693512;0.0126407520969;
A/B T7;eeg;AB;T7;alpha & beta;0.0640921747563;0.0163470204749;0.0131207807949;0.0105923276751;0.0131149336087;0.0395170549711;0.00232065982332;0.0106020742923;
DE T7(theta);eeg;DE;T7;theta;0.058221302693;0.0177567340063;0.000750955502095;0.0177050732355;0.000780245103069;0.0161004950937;0.00117994506443;0.0245765293445;
PSD T7(theta);eeg;PSD;T7;theta;0.0480414889191;0.0183023322919;0.0134784754129;0.00511084206752;0.0133757806296;0.0151527967156;0.00113316424905;0.0244921434124;
DE T7(beta);eeg;DE;T7;beta;0.0589084333484;0.0179391664649;0.00598426883897;0.0;0.00603275349568;0.0144436210546;0.00118526746948;0.0231268679621;
PSD T7(beta);eeg;PSD;T7;beta;0.0419043974975;0.0177732747311;0.0130796813564;0.0167355401445;0.0130659154927;0.0185601000553;0.00120234726064;0.022693911321;
DE T7(alpha);eeg;DE;T7;alpha;0.0306971422814;0.0179465439528;0.00871693808627;0.0300674121552;0.00874600842317;0.0290666167504;0.00157654761357;0.0194762378977;
PSD T7(alpha);eeg;PSD;T7;alpha;0.0313793239513;0.0161704003902;0.00235766763545;0.00618535881001;0.00235081620821;0.0416344384003;0.00163567695726;0.0208681096358;
DE T7(gamma);eeg;DE;T7;gamma;0.0142648668789;0.0154255836711;0.00863681533981;0.0;0.00859962328167;0.00828555736689;0.00100153407331;0.0285269075745;
PSD T7(gamma);eeg;PSD;T7;gamma;0.0175979658112;0.0147567654546;0.00084706855097;0.0131831832893;0.000808861855537;0.0338727892003;0.00107168750887;0.0274461774982;
DE T7(delta);eeg;DE;T7;delta;0.0426874226822;0.0152106251525;0.00841227403787;0.00158383965396;0.00832928897672;0.0768254246857;0.00175448365466;0.0138385898877;
PSD T7(delta);eeg;PSD;T7;delta;0.0218861517432;0.0238149815694;0.00130570736941;0.00148935890524;0.00129028167924;0.0557187589412;0.00172568810936;0.0118235553411;
A/B CP5;eeg;AB;CP5;alpha & beta;0.0377358655243;0.0178028042983;0.00761293073079;0.0297594259937;0.00761775690975;0.0366715865225;0.00195153474992;0.0144983609421;
DE CP5(theta);eeg;DE;CP5;theta;0.0903181961801;0.0160608689053;0.01180458714;0.00296501058475;0.0118371423398;0.0150727336341;0.00122173537398;0.0251175546144;
PSD CP5(theta);eeg;PSD;CP5;theta;0.0657118436746;0.0187631846631;0.0193545966436;0.0310107650654;0.0193836756015;0.0421731066714;0.00122703024996;0.02551397292;
DE CP5(beta);eeg;DE;CP5;beta;0.0783379289791;0.0191255717068;0.000214593889633;0.0206293397656;0.000188097503863;0.0282621316297;0.0012369247382;0.0240716332116;
PSD CP5(beta);eeg;PSD;CP5;beta;0.0634120036285;0.0175286210127;0.00181362799015;0.0;0.00181524371124;0.0162476528155;0.00143213989664;0.0235705047831;
DE CP5(alpha);eeg;DE;CP5;alpha;0.0686744125602;0.0154623449233;0.0138095019794;0.00645592501734;0.0138655043962;0.0190011715849;0.00101591208304;0.0206316167859;
PSD CP5(alpha);eeg;PSD;CP5;alpha;0.0715741686281;0.020080862481;0.000854361713462;0.00370378905608;0.000873778103352;0.0409097553736;0.00107705576993;0.0209931677297;
DE CP5(gamma);eeg;DE;CP5;gamma;0.0464555299313;0.0159358859781;0.0165682401627;0.0165880869886;0.0165415372166;0.0335603457757;0.0012177345391;0.0303665681714;
PSD CP5(gamma);eeg;PSD;CP5;gamma;0.0301184306435;0.0149800503604;0.00391311217923;0.0;0.00386312542993;0.0424513666567;0.0010249652646;0.0301052037142;
DE CP5(delta);eeg;DE;CP5;delta;0.0561739698629;0.018059325278;0.00326557244556;0.00446069144467;0.00330198956323;0.0260289151571;0.00189374553044;0.0119570743953;
PSD CP5(delta);eeg;PSD;CP5;delta;0.0601309694632;0.0194080254748;0.00998429114834;0.0215110049007;0.0100080415225;0.0356196665918;0.00197379763082;0.0113916943104;
A/B CP1;eeg;AB;CP1;alpha & beta;0.0512301621274;0.0171600634596;0.00594717067372;0.0;0.00591743752921;0.0389195763717;0.00275870779219;0.0129303141693;
DE CP1(theta);eeg;DE;CP1;theta;0.0563990522959;0.0145055321466;0.0120466188892;0.00923439675247;0.0120514352941;0.0339270939134;0.00128361479591;0.0257404625424;
PSD CP1(theta);eeg;PSD;CP1;theta;0.0298044827144;0.0204081534376;0.00928000897202;0.00700195866891;0.00931061144645;0.0552784328756;0.00116330225175;0.0268216388639;
DE CP1(beta);eeg;DE;CP1;beta;0.021078811521;0.0208048590449;0.00361422567466;0.000379238220741;0.00354120823223;0.016335708967;0.00139012180234;0.0247929694444;
PSD CP1(beta);eeg;PSD;CP1;beta;0.0371779487809;0.0185978312048;0.00650757783282;0.0050088118999;0.0065289475832;0.0165483585944;0.00132144732879;0.0250482232001;
DE CP1(alpha);eeg;DE;CP1;alpha;0.0345635955639;0.014034987311;0.0125197608359;0.015706505885;0.0124777230264;0.0495851993742;0.00133495973279;0.0245085974165;
PSD CP1(alpha);eeg;PSD;CP1;alpha;0.0291835669725;0.0134043744363;0.0156415271042;0.0042354846236;0.015601205721;0.0639142566428;0.00128335987157;0.0249312956314;
DE CP1(gamma);eeg;DE;CP1;gamma;0.0232762045695;0.0153575199389;0.00207130558901;0.0224439844166;0.00213531752217;0.0265185406618;0.00110878306127;0.0282538718353;
PSD CP1(gamma);eeg;PSD;CP1;gamma;0.0194110990976;0.0163979051771;0.00679482161942;0.00844937457587;0.00671375530207;0.0165792433559;0.00103733722046;0.0282295483113;
DE CP1(delta);eeg;DE;CP1;delta;0.0139134511103;0.0184460495784;0.017252832102;0.0074906891809;0.0172080429648;0.0653731336508;0.00240795645028;0.0156652373188;
PSD CP1(delta);eeg;PSD;CP1;delta;0.0127479776265;0.016157202085;0.00277576913406;0.0202308194843;0.00273593610101;0.0564637460182;0.00215751146251;0.0131398095926;
A/B P3;eeg;AB;P3;alpha & beta;0.0264936340401;0.0197288643433;0.00795703238429;0.00311612540254;0.00797314835239;0.0322667124759;0.00209140277531;0.0159761551543;
DE P3(theta);eeg;DE;P3;theta;0.0807096446905;0.0206756487642;0.000229021519812;0.00655709685643;0.000312498827397;0.0209973770012;0.00171454031705;0.0237735958232;
PSD P3(theta);eeg;PSD;P3;theta;0.08808231824;0.023777460659;0.0082395703184;0.0060319300029;0.00821781359487;0.0325616111962;0.00160133791365;0.0237763994722;
DE P3(beta);eeg;DE;P3;beta;0.0753132052525;0.0196844365169;0.0101045169221;0.0165054595723;0.0100533144946;0.0123162688756;0.00122977928372;0.0222896394059;
PSD P3(beta);eeg;PSD;P3;beta;0.0675548276195;0.0208401537969;2.05463579393e-05;0.0;8.53751869587e-05;0.0118122914625;0.00114262301173;0.0205511239363;
DE P3(alpha);eeg;DE;P3;alpha;0.0113050241761;0.0176490736762;0.00567380478744;0.00405117790586;0.0056809669876;0.0207149080777;0.00155805578796;0.0194977731047;
PSD P3(alpha);eeg;PSD;P3;alpha;0.00950975775849;0.019490862195;0.00760951216158;0.0120957511775;0.00759857509264;0.041816603467;0.00146587451577;0.0200043732725;
DE P3(gamma);eeg;DE;P3;gamma;0.0540378096056;0.0209752800438;0.00459339449362;0.0;0.00456981964122;0.00741683518688;0.00130301701469;0.0269279291751;
PSD P3(gamma);eeg;PSD;P3;gamma;0.0391286271271;0.0235278903771;0.0183413771422;0.0117236611461;0.0182756245378;0.0506819649548;0.00125594794293;0.0270986254818;
DE P3(delta);eeg;DE;P3;delta;0.0544783722794;0.0275038431462;0.0185541344616;0.0730519490693;0.0185469296903;0.0646802938134;0.00318121750885;0.0120867459238;
PSD P3(delta);eeg;PSD;P3;delta;0.0337466142741;0.0403607639434;0.0180242354585;0.00273101559418;0.0180449880045;0.0986273775489;0.00284795793796;0.0112226205473;
A/B P7;eeg;AB;P7;alpha & beta;0.00935470938118;0.0206587189576;0.0055375969772;0.013294231712;0.00549904280418;0.0282700075637;0.00217157016439;0.00982627405466;
DE P7(theta);eeg;DE;P7;theta;0.101012787677;0.0171756224907;0.00571312788658;0.0;0.00575911911715;0.011007501782;0.00103899592859;0.0219953840491;
PSD P7(theta);eeg;PSD;P7;theta;0.0999001268997;0.0177995904528;0.0195331688872;0.0114917784469;0.0195537202734;0.0228615145365;0.000939281140032;0.0235257023048;
DE P7(beta);eeg;DE;P7;beta;0.0708696189224;0.0224176942007;0.0109877400864;0.0;0.0110205630054;0.0181984787828;0.00110147690355;0.0230067609779;
